time,T [Nm],w [rad/s]
0.0014658,-76.88,-62.019
0.0014683,-53.68,-63.664
0.0014716,-22.431,-64.931
0.0014749,9.1628,-65.162
0.0014782,40.561,-64.357
0.0014815,71.23,-62.53
0.0014848,100.65,-59.713
0.0014881,128.33,-55.956
0.0014914,153.8,-51.325
0.0014939,171.29,-47.299
0.0014963,187.12,-42.861
0.0014988,201.14,-38.051
0.0015013,213.21,-32.918
0.0015038,223.23,-27.511
0.0015063,231.1,-21.882
0.0015088,236.76,-16.085
0.0015112,240.16,-10.176
0.0015137,241.27,-4.2104
0.0015162,240.09,1.7537
0.0015187,236.64,7.6601
0.0015212,230.95,13.453
0.0015236,223.1,19.077
0.0015261,213.16,24.481
0.0015286,201.24,29.613
0.0015311,187.46,34.425
0.0015336,171.96,38.875
0.0015361,154.9,42.919
0.0015385,136.45,46.523
0.001541,116.79,49.653
0.0015435,96.119,52.282
0.001546,74.643,54.389
0.0015491,46.577,56.28
0.0015523,18,57.279
0.0015554,-10.639,57.376
0.0015586,-38.891,56.578
0.0015624,-71.774,54.454
0.0015662,-102.72,51.119
0.0015689,-123.57,47.987
0.0015717,-142.79,44.303
0.0015744,-160.15,40.115
0.0015772,-175.46,35.478
0.0015799,-188.52,30.45
0.0015827,-199.2,25.095
0.0015854,-207.38,19.481
0.0015876,-212.02,14.891
0.0015898,-215,10.217
0.001592,-216.31,5.4962
0.0015942,-215.92,0.7657
0.0015964,-213.87,-3.9381
0.0015985,-210.16,-8.5787
0.0016007,-204.82,-13.121
0.0016029,-197.92,-17.529
0.0016051,-189.49,-21.769
0.0016073,-179.61,-25.81
0.0016095,-168.36,-29.619
0.0016116,-155.82,-33.169
0.0016138,-142.11,-36.432
0.001616,-127.31,-39.384
0.0016182,-111.56,-42.002
0.0016208,-91.237,-44.715
0.0016235,-69.9,-46.872
0.0016262,-47.796,-48.451
0.0016296,-18.856,-49.6
0.001633,10.386,-49.759
0.0016364,39.392,-48.926
0.0016398,67.629,-47.12
0.0016432,94.583,-44.374
0.0016466,119.76,-40.742
0.0016493,138.15,-37.279
0.001652,154.93,-33.343
0.0016532,162.1,-31.375
0.0016532,162.1,-31.375
0.0016559,176.2,-26.83
0.0016586,188.27,-21.933
0.0016613,198.18,-16.739
0.001664,205.82,-11.31
0.0016667,211.11,-5.7059
0.0016694,214.01,0.0080059
0.0016721,214.47,5.767
0.0016748,212.52,11.506
0.0016774,208.18,17.16
0.0016801,201.5,22.665
0.0016828,192.58,27.96
0.0016855,181.53,32.985
0.0016882,168.48,37.686
0.0016909,153.59,42.01
0.0016936,137.04,45.911
0.0016963,119.03,49.346
0.001699,99.768,52.278
0.0017017,79.487,54.678
0.0017044,58.424,56.521
0.001708,29.686,58.077
0.0017115,0.59626,58.597
0.0017151,-28.251,58.081
0.0017187,-56.27,56.547
0.0017223,-82.894,54.036
0.0017258,-107.59,50.607
0.0017285,-124.7,47.447
0.0017312,-140.23,43.845
0.0017339,-154,39.847
0.0017367,-165.85,35.502
0.0017394,-175.65,30.863
0.0017421,-183.31,25.989
0.0017448,-188.72,20.937
0.0017475,-191.85,15.77
0.0017502,-192.66,10.55
0.0017529,-191.16,5.3399
0.0017556,-187.36,0.20129
0.0017583,-181.33,-4.8041
0.001761,-173.14,-9.6168
0.0017637,-162.9,-14.18
